transaction_id,datetime,entity,outlet,items,gross_amount,discount_amount,net_amount,payment_status
TRX1103,2026-09-02 17:13:00,Retail,Dago,1,30000.0,3000.0,27000.0,PAID
TRX1145,2026-09-01 12:59:00,Retail,Riau,3,93000.0,0.0,93000.0,PAID
TRX1201,2026-09-01 10:59:00,Roastery,Kafe Titik Temu,1,2250000.0,0.0,2250000.0,PAID
TRX1049,2026-09-13 16:57:00,Retail,Ciumbuleuit,2,90000.0,13500.0,76500.0,PAID
TRX1146,2026-09-11 12:17:00,Retail,Dago,2,98000.0,0.0,98000.0,PAID
TRX1007,2026-09-11 12:53:00,Retail,Dago,1,15000.0,0.0,15000.0,PAID
TRX1091,2026-09-06 16:19:00,Retail,Buah Batu,3,126000.0,0.0,126000.0,PAID
TRX1009,2026-09-10 13:23:00,Retail,Ciumbuleuit,1,64000.0,6400.0,57600.0,PAID
TRX1124,2026-09-13 17:04:00,Retail,Ciumbuleuit,3,128000.0,0.0,128000.0,PAID
TRX1132,2026-09-04 10:08:00,Retail,Ciumbuleuit,1,28000.0,0.0,28000.0,PAID
TRX1166,2026-09-14 17:43:00,Retail,Buah Batu,2,47000.0,0.0,47000.0,PAID
TRX1116,2026-09-12 15:13:00,Retail,Buah Batu,2,90000.0,0.0,90000.0,PAID
TRX1198,2026-09-08 10:43:00,Roastery,Reseller Aromanis,1,1150000.0,0.0,1150000.0,PAID
TRX1117,2026-09-01 09:10:00,Retail,Dago,3,144000.0,0.0,144000.0,PAID
TRX1032,2026-09-06 16:35:00,Retail,Ciumbuleuit,2,76000.0,0.0,76000.0,PAID
TRX1067,2026-09-01 11:55:00,Retail,Buah Batu,1,15000.0,0.0,15000.0,VOID
TRX1203,2026-09-09 11:41:00,Roastery,Kafe Titik Temu,1,1500000.0,0.0,1500000.0,PAID
TRX1194,2026-09-11 17:59:00,Roastery,Distributor Jaya Kopi,1,1440000.0,144000.0,1296000.0,PAID
TRX1171,2026-09-10 14:32:00,Roastery,Distributor Jaya Kopi,1,6900000.0,0.0,6900000.0,PAID
TRX1058,2026-09-02 13:23:00,Retail,Buah Batu,3,144000.0,0.0,144000.0,PAID
TRX1156,2026-09-06 14:51:00,Retail,Ciumbuleuit,3,126000.0,0.0,126000.0,PAID
TRX1093,2026-09-10 19:22:00,Retail,Ciumbuleuit,3,88000.0,0.0,88000.0,PAID
TRX1113,2026-09-12 07:18:00,Retail,Riau,2,62000.0,6200.0,55800.0,PAID
TRX1200,2026-09-07 13:52:00,Roastery,Reseller Aromanis,1,925000.0,92500.0,832500.0,PAID
TRX1066,2026-09-01 15:18:00,Retail,Ciumbuleuit,3,116000.0,0.0,116000.0,PAID
TRX1188,2026-09-01 13:36:00,Roastery,Distributor Jaya Kopi,1,2250000.0,225000.0,2025000.0,PAID
TRX1006,2026-09-11 17:04:00,Retail,Ciumbuleuit,3,114000.0,0.0,114000.0,PAID
TRX1079,2026-09-05 15:08:00,Retail,Riau,2,70000.0,0.0,70000.0,PAID
TRX1107,2026-09-13 12:32:00,Retail,Dago,2,64000.0,0.0,64000.0,PAID
TRX1051,2026-09-07 09:55:00,Retail,Buah Batu,1,44000.0,0.0,44000.0,PAID
TRX1069,2026-09-10 10:49:00,Retail,Buah Batu,2,80000.0,0.0,80000.0,PAID
TRX1149,2026-09-08 07:46:00,Retail,Riau,3,118000.0,0.0,118000.0,PAID
TRX1173,2026-09-05 12:46:00,Roastery,Reseller Aromanis,1,2300000.0,0.0,2300000.0,PAID
TRX1163,2026-09-09 08:20:00,Retail,Ciumbuleuit,2,69000.0,6900.0,62100.0,PAID
TRX1000,2026-09-11 08:01:00,Retail,Riau,1,20000.0,0.0,20000.0,PAID
TRX1182,2026-09-04 12:52:00,Roastery,Distributor Jaya Kopi,1,1200000.0,0.0,1200000.0,PAID
TRX1004,2026-09-02 21:24:00,Retail,Dago,3,112000.0,11200.0,100800.0,PAID
TRX1073,2026-09-02 07:10:00,Retail,Riau,3,123000.0,0.0,123000.0,PAID
TRX1003,2026-09-13 12:06:00,Retail,Dago,2,74000.0,0.0,74000.0,PAID
TRX1122,2026-09-02 13:55:00,Retail,Riau,3,78000.0,0.0,78000.0,PAID
TRX1065,2026-09-10 11:06:00,Retail,Ciumbuleuit,2,80000.0,16000.0,64000.0,PAID
TRX1100,2026-09-09 09:24:00,Retail,Buah Batu,2,80000.0,0.0,80000.0,PAID
TRX1148,2026-09-05 12:06:00,Retail,Dago,2,104000.0,0.0,104000.0,PAID
TRX1033,2026-09-06 10:43:00,Retail,Ciumbuleuit,3,106000.0,0.0,106000.0,PAID
TRX1045,2026-09-13 14:42:00,Retail,Riau,2,94000.0,0.0,94000.0,PAID
TRX1022,2026-09-03 13:00:00,Retail,Buah Batu,2,86000.0,0.0,86000.0,PAID
TRX1155,2026-09-13 12:32:00,Retail,Ciumbuleuit,1,20000.0,3000.0,17000.0,VOID
TRX1129,2026-09-02 15:43:00,Retail,Buah Batu,2,56000.0,0.0,56000.0,PAID
TRX1087,2026-09-07 12:40:00,Retail,Buah Batu,3,82000.0,0.0,82000.0,PAID
TRX1054,2026-09-11 08:36:00,Retail,Ciumbuleuit,2,78000.0,15600.0,62400.0,PAID
TRX1080,2026-09-03 11:35:00,Retail,Dago,3,70000.0,0.0,70000.0,PAID
TRX1123,2026-09-06 18:52:00,Retail,Ciumbuleuit,1,22000.0,0.0,22000.0,PAID
TRX1167,2026-09-06 07:25:00,Retail,Dago,3,132000.0,0.0,132000.0,PAID
TRX1141,2026-09-10 15:01:00,Retail,Ciumbuleuit,3,129000.0,19400.0,109600.0,PAID
TRX1078,2026-09-11 20:34:00,Retail,Buah Batu,2,86000.0,0.0,86000.0,PAID
TRX1064,2026-09-02 18:34:00,Retail,Ciumbuleuit,1,40000.0,0.0,40000.0,PAID
TRX1016,2026-09-09 10:37:00,Retail,Ciumbuleuit,1,22000.0,2200.0,19800.0,PAID
TRX1021,2026-09-01 17:34:00,Retail,Dago,1,15000.0,2200.0,12800.0,PAID
TRX1043,2026-09-04 14:39:00,Retail,Dago,2,73000.0,0.0,73000.0,PAID
TRX1125,2026-09-02 14:28:00,Retail,Riau,2,60000.0,0.0,60000.0,PAID
TRX1196,2026-09-13 12:48:00,Roastery,Reseller Aromanis,1,3750000.0,0.0,3750000.0,PAID
TRX1086,2026-09-14 17:09:00,Retail,Dago,2,86000.0,0.0,86000.0,PAID
TRX1071,2026-09-12 16:30:00,Retail,Riau,1,40000.0,0.0,40000.0,PAID
