transaction_id,datetime,entity,outlet,items,gross_amount,discount_amount,net_amount,payment_status
TRX1103,2026-09-02 17:13:00,Retail,DAGO,1,30000,3000,27000,PAID
TRX1145,2026-09-01 12:59:00,Retail,Riau,3,93000,0,93000,PAID
TRX1201,01/09/2026 10:59,Roastery,Kafe Titik Temu,1,2250000,0,2250000,PAID
TRX1049,13/09/2026 16:57,Retail,Ciumbuleuit,2,90000,13500,76500,PAID
TRX1146,11 Sep 2026 12:17 PM,Retail,dago,2,98000,0,98000,PAID
TRX1007,2026-09-11 12:53:00,Retail,DAGO,1,15000,0,15000,PAID
TRX1091,2026-09-06 16:19:00,Retail,Buah Batu,3,126000,0,126000,PAID
TRX1009,2026-09-10 13:23:00,Retail,Ciumbuleuit,1,64000,6400,57600,PAID
TRX1124,2026-09-13 17:04:00,Retail,Ciumbuleuit,3,128000,0,128000,PAID
TRX1132,04/09/2026 10:08,Retail,Ciumbuleuit,1,28000,0,28000,PAID
TRX1166,14/09/2026 17:43,Retail,Buah Batu,2,47000,0,47000,PAID
TRX1116,12 Sep 2026 3:13 PM,Retail,Buah Batu,2,90000,0,90000,PAID
TRX1198,2026-09-08 10:43:00,Roastery,Reseller Aromanis,1,1150000,0,1150000,PAID
TRX1117,2026-09-01 9:10:00,Retail,Dago,3,144000,0,144000,PAID
TRX1032,6 Sep 2026 4:35 PM,Retail,Ciumbuleuit,2,76000,0,76000,PAID
TRX1067,01/09/2026 11:55,Retail,Buah  Batu,1,15000,0,15000,VOID
TRX1203,2026-09-09 11:41:00,Roastery,Kafe Titik Temu,1,1500000,0,1500000,PAID
TRX1194,2026-09-11 17:59:00,Roastery,Distributor Jaya Kopi,1,1440000,144000,1296000,PAID
TRX1171,2026-09-10 14:32:00,Roastery,Distributor Jaya Kopi,1,6900000,0,6900000,PAID
TRX1058,2026-09-02 13:23:00,Retail,Buah Batu,3,144000,0,144000,PAID
TRX1156,6 Sep 2026 2:51 PM,Retail,Ciumbuleuit,3,126000,0,126000,PAID
TRX1093,2026-09-10 19:22:00,Retail,Ciumbuleuit,3,88000,0,88000,PAID
TRX1113,2026-09-12 7:18:00,Retail,Riau,2,62000,6200,55800,PAID
TRX1200,2026-09-07 13:52:00,Roastery,Reseller Aromanis,1,925000,92500,832500,PAID
TRX1066,2026-09-01 15:18:00,Retail,Ciumbuleuit,3,116000,0,116000,PAID
TRX1188,2026-09-01 13:36:00,Roastery,Distributor Jaya Kopi,1,2250000,225000,2025000,PAID
TRX1006,2026-09-11 17:04:00,Retail,Ciumbuleuit,3,114000,0,114000,PAID
TRX1079,2026-09-05 15:08:00,Retail,Riau,2,70000,0,70000,PAID
TRX1107,13/09/2026 12:32,Retail,Dago,2,64000,0,64000,PAID
TRX1051,2026-09-07 9:55:00,Retail,Buah Batu,1,44000,0,44000,PAID
TRX1069,10/09/2026 10:49,Retail,Buah Batu,2,80000,0,80000,PAID
TRX1149,08/09/2026 7:46,Retail,Riau,3,118000,0,118000,PAID
TRX1173,05/09/2026 12:46,Roastery,Reseller Aromanis,1,2300000,0,2300000,PAID
TRX1163,2026-09-09 8:20:00,Retail,Ciumbuleuit,2,69000,6900,62100,PAID
TRX1000,11 Sep 2026 8:01 AM,Retail,Riau,1,20000,0,20000,PAID
TRX1182,2026-09-04 12:52:00,Roastery,Distributor Jaya Kopi,1,1200000,0,1200000,PAID
TRX1004,2 Sep 2026 9:24 PM,Retail,Dago,3,112000,11200,100800,PAID
TRX1073,2026-09-02 7:10:00,Retail,Riau,3,123000,0,123000,PAID
TRX1009,2026-09-10 13:23:00,Retail,Ciumbuleuit,1,64000,6400,57600,PAID
TRX1003,13/09/2026 12:06,Retail,DAGO,2,74000,0,74000,PAID
TRX1122,02/09/2026 13:55,Retail,Riau,3,78000,0,78000,PAID
TRX1065,2026-09-10 11:06:00,Retail,Ciumbuleuit,2,80000,16000,64000,PAID
TRX1100,9 Sep 2026 9:24 AM,Retail,Buah Batu,2,80000,0,80000,PAID
TRX1148,05/09/2026 12:06,Retail,Dago,2,104000,0,104000,PAID
TRX1033,2026-09-06 10:43:00,Retail,Ciumbuleuit,3,106000,0,106000,PAID
TRX1045,2026-09-13 14:42:00,Retail,Riau,2,94000,0,94000,PAID
TRX1022,03/09/2026 13:00,Retail,Buah Batu,2,86000,0,86000,PAID
TRX1155,2026-09-13 12:32:00,Retail,Ciumbuleuit,1,20000,3000,17000,VOID
TRX1129,2026-09-02 15:43:00,Retail,Buah Batu,2,56000,0,56000,PAID
TRX1087,07/09/2026 12:40,Retail,Buah Batu,3,82000,0,82000,PAID
TRX1054,11/09/2026 8:36,Retail,Ciumbuleuit,2,78000,15600,62400,PAID
